FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
16025,Camas County,Idaho,16025_2016,2016,1072,746.2686567,0,1,746.2686567,4,7.631298694,0,0,0,0,0,279.8507463,466.4179104,0,0,20.02450986
16029,Caribou County,Idaho,16029_2013,2013,6830,1420.204978,0,1,1420.204978,5,9.67380569,0,0,0,0,0,1215.22694,190.3367496,14.64128843,0,26.24663186
16029,Caribou County,Idaho,16029_2014,2014,6837,307.1522598,0,1,307.1522598,2,4.845998544,0,0,0,0,0,73.13149042,234.0207693,0,0,18.71327246
1037,Coosa County,Alabama,01037_2017,2017,10864,1675.258,230.1178,3,1445.14,5,0,18.40942563,18.40942563,13.42610401,18.40942563,174.8895434,497.0544919,846.8335788,101.2518409,0,16.32335706
16033,Clark County,Idaho,16033_2013,2013,861,813.0081301,0,1,813.0081301,4,7.851895357,0,0,0,0,0,116.1440186,696.8641115,0,0,18.62091938
16033,Clark County,Idaho,16033_2015,2015,880,681.8181818,0,1,681.8181818,4,6.867100773,0,0,0,0,0,0,681.8181818,0,0,17.7745623
16041,Franklin County,Idaho,16041_2015,2015,13074,267.7068992,0,1,267.7068992,2,0,0,0,0,0,0,7.648768548,244.7605935,15.2975371,0,17.14890772
16077,Power County,Idaho,16077_2013,2013,7694,740.8370159,0,1,740.8370159,4,0,0,0,0,0,0,142.9685469,571.8741877,25.99428126,0,17.13686696
16077,Power County,Idaho,16077_2016,2016,7654,365.8217925,0,1,365.8217925,2,40.65689592,0,0,0,0,0,65.32532009,235.1711523,65.32532009,26.13012804,21.99351947
17005,Bond County,Illinois,17005_2016,2016,16824,374.4650499,0,1,374.4650499,2,1.121431954,0,0,0,0,0,142.6533524,225.8678079,5.943889681,0,18.52808865
17015,Carroll County,Illinois,17015_2013,2013,14868,464.0839387,0,1,464.0839387,3,0,0,0,0,0,0,94.16195857,363.1961259,6.725854183,0,17.84618325
17015,Carroll County,Illinois,17015_2014,2014,14715,292.2188243,0,1,292.2188243,2,2.33207624,0,0,0.079728067,0,0,47.57050629,244.648318,0,0,18.23680983
17015,Carroll County,Illinois,17015_2015,2015,14616,266.8308703,0,1,266.8308703,2,1.872049987,0,0,0,0,0,6.841817187,259.9890531,0,0,17.89489494
17015,Carroll County,Illinois,17015_2016,2016,14539,426.4392324,0,1,426.4392324,2,3.072804164,0,0,0,0,0,110.0488342,316.3903982,0,0,18.61664701
17025,Clay County,Illinois,17025_2013,2013,13572,434.7185382,0,1,434.7185382,3,0,0,0,0,0,0,169.4665488,228.4114353,36.84055408,0,17.43203023
17039,De Witt County,Illinois,17039_2015,2015,16247,166.1845264,0,1,166.1845264,1,0,0,0,0,0,0,61.54982458,92.32473687,12.30996492,0,17.84425682
1039,Covington County,Alabama,01039_2017,2017,37729,132.524,10.60192,1,121.9221,1,0,0,2.650481062,0,0,7.951443187,34.45625381,76.86395081,10.60192425,0,17.75262306
17101,Lawrence County,Illinois,17101_2014,2014,16519,351.1108421,0,1,351.1108421,2,0,0,0,0.349875653,0,0,96.85816333,151.3408802,102.9117985,0,14.6214226
17135,Montgomery County,Illinois,17135_2015,2015,28898,349.5051561,0,1,349.5051561,2,18.5592105,0,0,0.196255766,0,0,114.194754,231.849955,3.46044709,6.92089418,20.82236488
17155,Putnam County,Illinois,17155_2014,2014,5814,481.5961472,0,1,481.5961472,3,0,0,0,0.10377635,0,0,171.998624,292.3976608,17.1998624,0,18.09077793
17155,Putnam County,Illinois,17155_2015,2015,5644,389.794472,0,1,389.794472,2,2.947006036,0,0,0,0,0,124.0255138,265.7689582,0,0,18.78623616
17157,Randolph County,Illinois,17157_2016,2016,32621,82.76876858,0,1,82.76876858,1,0.021496573,0,0,0,0,0,45.98264921,30.65509948,6.131019895,0,18.04497149
