FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
3018240,Melstone Elementary School District,Musselshell County,Montana,18240,,,,,,,,,,45,100,0,0,0,0,0,0,6.2,0,0,0,0
3018240,Melstone Elementary School District,Rosebud County,Montana,18240,,,,,,,,,,45,100,0,0,0,0,0,0,6.2,0,0,0,0
3018270,Melstone High School District,Musselshell County,Montana,18270,,,,,,,,,,33,100,0,0,0,0,0,0,6.4,0,0,0,0
3018270,Melstone High School District,Rosebud County,Montana,18270,,,,,,,,,,33,100,0,0,0,0,0,0,6.4,0,0,0,0
3018870,Moore Elementary School District,Fergus County,Montana,18870,,,,,,,,,,61,100,0,0,0,0,0,0,6.3,0,0,0,0
3018900,Moore High School District,Fergus County,Montana,18900,,,,,,,,,,31,100,0,0,0,0,0,0,5.9,0,0,0,0
3026670,Turner High School District,Blaine County,Montana,26670,,,,,,,,,,20,100,0,0,0,0,0,0,4.5,0,0,0,0
3103210,Arthur County Schools,Arthur County,Nebraska,3210,,,,,,,,,,111,100,0,0,0,0,0,0,7,0,0,0,0
3103210,Arthur County Schools,Keith County,Nebraska,3210,,,,,,,,,,111,100,0,0,0,0,0,0,7,0,0,0,0
3103210,Arthur County Schools,McPherson County,Nebraska,3210,,,,,,,,,,111,100,0,0,0,0,0,0,7,0,0,0,0
3302550,Croydon School District,Sullivan County,New Hampshire,2550,,,,,,,,,,26,100,0,0,0,0,0,0,8.6,0,0,0,0
3302940,Errol School District,Coos County,New Hampshire,2940,,,,,,,,,,16,100,0,0,0,0,0,0,5.7,0,0,0,0
3303720,Hill School District,Merrimack County,New Hampshire,3720,,,,,,,,,,63,100,0,0,0,0,0,0,8.8,0,0,0,0
3304170,Landaff School District,Grafton County,New Hampshire,4170,,,,,,,,,,22,100,0,0,0,0,0,0,13.7,0,0,0,0
3306330,Stark School District,Coos County,New Hampshire,6330,,,,,,,,,,27,100,0,0,0,0,0,0,7.5,0,0,0,0
3306870,Warren School District,Grafton County,New Hampshire,6870,,,,,,,,,,77,100,0,0,0,0,0,0,8.1,0,0,0,0
3604758,Kiryas Joel Village Union Free School District,Orange County,New York,4758,,,,,,,,,,162,100,0,0,0,0,0,0,7.3,0,0,0,0
3617760,Long Lake Central School District,Hamilton County,New York,17760,,,,,,,,,,67,100,0,0,0,0,0,0,4,0,0,0,0
3623970,Putnam Central School District,Essex County,New York,23970,,,,,,,,,,21,100,0,0,0,0,0,0,2.6,0,0,0,0
3623970,Putnam Central School District,Washington County,New York,23970,,,,,,,,,,21,100,0,0,0,0,0,0,2.6,0,0,0,0
3802240,Bakker Public School District 10,Emmons County,North Dakota,2240,,,,,,,,,,11,100,0,0,0,0,0,0,11,0,0,0,0
